year;date;time;y;x;type;injured;died
2021;27.2.2021;12:45:00;42,70933;23,41995;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;27.2.2021;12:40:00;42,69975;23,30232;ДРУГ ВИД ПТП;не;не
2021;27.2.2021;12:40:00;42,69975;23,30232;ДРУГ ВИД ПТП;не;не
2021;27.2.2021;12:50:00;42,6593;23,24044;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;27.2.2021;12:50:00;42,6593;23,24044;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;27.2.2021;12:50:00;42,6593;23,24044;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;27.2.2021;14:00:00;42,66898;23,39424;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;14:00:00;42,66898;23,39424;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;13:50:00;42,69582;23,32255;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;27.2.2021;13:50:00;42,69582;23,32255;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;27.2.2021;14:30:00;42,64853;23,41334;БЛЪСКАНЕ В ПРЕПЯТСТВИЕ НА ПЪТЯ;не;не
2021;27.2.2021;15:00:00;42,66859;23,26702;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;15:00:00;42,66859;23,26702;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;15:00:00;42,66859;23,26702;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;16:00:00;42,69976;23,30229;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;27.2.2021;16:00:00;42,69976;23,30229;СБЛЪСКВАНЕ МЕЖДУ МПС ПОД ЪГЪЛ;не;не
2021;27.2.2021;13:10:00;;;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;13:10:00;;;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;13:10:00;;;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;15:30:00;42,71568;23,324;БЛЪСКАНЕ НА ПЕШЕХОДЕЦ;не;не
2021;27.2.2021;15:30:00;42,71568;23,324;БЛЪСКАНЕ НА ПЕШЕХОДЕЦ;да;не
2021;8.1.2021;14:55:00;42,68914;23,32882;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;8.1.2021;14:55:00;42,68914;23,32882;БЛЪСКАНЕ НА СПРЯНО ППС;не;не
2021;27.2.2021;17:30:00;42,73396;23,28715;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;17:30:00;42,73396;23,28715;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
2021;27.2.2021;19:30:00;42,70056;23,37216;СБЛЪСКВАНЕ МЕЖДУ МПС СТРАНИЧНО;не;не
